Datetime,Content,Username,DisplayName,Location,Lang,Content_en,Polarity,subjectivity
2023-03-01 22:40:13+00:00,secretaria de salud del atlantico adelanta estrategia para que comunidad identifique enfermedades transmitidas por mosquito httpstcoy4uf2d4dpm,ronaldlugo231,ronald lugo de la hoz,"barranquilla, colombia",es,Atlantic Secretary of Health advances strategy for community to identify diseases transmitted by mosquito,0.0,0.0
2023-06-15 16:07:13+00:00,"esto zoerobledo ssaludcdmx ssaludmx  este es su servicio de dinamarca asi pretenden contender para gobernaturas 

ojala puedan hacer algo al respecto imss zoerobledo",andresdeleon,actor andres de leon mexico,distirto federal,es,This Zoerobledo Ssaludcdmx Ssaludmx This is its Denmark service so they intend to contain for governments I hope you can do something about IMSS Zoerobledo,0.0,0.0
2023-06-09 10:52:03+00:00,"ryohermoso 1podria regresar el grupo sonorense
2 demostro el ataque s precedente del ysq vs su gobierno en tamaulipas
3renuncio declarando corrupcion en el imss y hacienda los 3 son eficaces pueden ser",maryteryta,tere aguilar,unknown,es,Ryohermoso returning the Sonoran Group demonstrated the preceding attack of the Y is its government in Tamaulipas declaring corruption in the IMSS and the Treasury are effective can be,0.6,0.8
2023-05-09 20:52:12+00:00,"lopezdoriga zoerobledo el imssbienestar es una tomada de pelo una mentira mas resulta q solo pasan lo q ya hay en los estados y ahora le cambian nombre 
y como siempre terminan enredandote con blabladorismo joaquin",lupita_salva,lupita salva,unknown,es,LOPEZORIGE ZOEROBLEDO The IMSSBienestar is a teased one lies more it turns out that only what is already in the states and now they change it name and as they always end up entangling with Blabladorismo Joaquin,0.25,0.75
2023-05-14 18:23:43+00:00,xoloelvis ese no es director del imss ni siquiera se parece a zoe robledo,migbang, miguel peyochenkov ,la gran tenochtitlan,es,Xoloelvis that is not director of the IMSS does not even look like a stolen zoe,0.0,0.0
2023-05-12 00:24:47+00:00,oigan ayer me da la pase bien rico pero hoy fui al imss y me dijeron que estoy en sobrepeso jajajaja los sube y baja de la vida vaya,natalyistired,"greg, you total cokewhore !",unknown,es,They hear yesterday it gives me the ravies very rich but today I went to the IMSS and they told me that I am overweight hahahaha up and get out of life go,0.34375,0.7375
2023-05-04 21:50:14+00:00,cofepris zoerobledo tuimss y los temas de importancias como el desabasto de medicamentos psiquiatricos cuando se solucionara como piensa cubrir a los pacientes sus desgracias y crisis al interrumpir tratamientos es una situacion verdaderamente criminal dejar a los pacientes sin acceso a medicinas,memagdaleno,memagdaleno,unknown,es,Cofepris Zoerobledo Timsss and importance issues such as the contempt of psychiatric medications when solving how patients think their misfortunes and crises when interrupting treatments is a truly criminal situation to leave patients without access to medicines,-0.2,0.525
2023-05-30 21:55:40+00:00,"tras fracaso del insabi bajos salarios y abusos en el imssbienestar
httpstco7ms9f3f1js",eolopacheco,eolo pacheco ,unknown,es,after failure of the insane low salaries and abuses in the IMSSBienestar,-0.4388888888888889,0.5333333333333333
2023-04-12 22:45:19+00:00,"personeria de yumbo denuncia una alta demanda de quejas por citas no estan dando citas prioritarias la gente no puede reclamar ciertos medicamentos mucha incertidumbre
ya han dado advertencia a la secretaria de salud para q comience a tomar medidas pq se ve que va a empeorar",camilovaper,juan camilo vargas perlaza (r),"yumbo, colombia",es,Route forgiveness denounces a high demand for complaints for appointments are not giving priority quotes people cannot claim certain medications much uncertainty have already given warning to the Secretary of Health so that it begins to take measures because it is seen that it will make it worsen,0.19142857142857142,0.43714285714285706
2023-05-09 18:36:10+00:00,gabyjimenezmx si tanta es la incongruecia para que juro la constitucion lopezobrador   la constitucion trae las reglas del juego y el acepto  yo no he usado en tuimss en 19 anos lo visito y no hay vacunas y no tengo manera de reclamar y que me hagan caso,fdo_miguel_32,fernando miguel,"poza rica, mexico",es,Gabyjimenezmx If so much is the incongruity for the lopezobrador Constitution to swear the Constitution brings the rules of the game and I accept I have not used in Tuimss in years I visit it and there are no vaccines and I have no way of claiming and that they pay attention to me,-0.1,0.30000000000000004
2023-05-26 23:52:05+00:00,tuimss donde se puede denunciar negligencia de la clinica 8 hoy estaba programado mi papa para una cirugia no tenian orden para la operacion ya tenia analisis prueba covid y ayer le indicaron en ts que sin problema alguno y se presento a la hora  que lo van a reprogramar,hildagu40501279,hilda gutierrez,unknown,es,Timsss where you can denounce negligence of the clinic today my dad was scheduled for surgery had no order for the operation already had food testing and yesterday they indicated in TS that without any problem and it was presented at the time they will reprogram it,0.0,0.0
2023-03-23 15:03:16+00:00,continuan las tomas en la secretaria de salud httpstcodrbo0suy3q httpstcozln0brqug6,contextohn,contexto honduras,honduras ,es,Tomas continue in the Secretary of Health,0.0,0.0
2023-06-17 14:08:34+00:00,"omargarciadgo lillytellez issstemx solo te va a contestar si le conviene

no gastes tu tiempo con esta pinche vieja horrible",quesadillasel,el quesadillas,unknown,es,OMARGARCIADGO LILYTELLEZ ISSSTEMX will only answer you if you should not spend your time with this horrible old click,-0.3,0.7333333333333334
2023-06-06 20:19:04+00:00,darpanbodhi tu no usas metro ni imss ni becas  pero si tienes la percha de millonario jajajaja httpstcort8hn1jepk,miki036935,miki,unknown,es,Darpanbodhi you do not use Metro or IMSS or scholarships but if you have the millionaire hanger hahaha,0.2,0.4
2023-01-16 15:00:09+00:00,parmendarizmx la secretaria de salud dijo por todos los medios que el covid no era una emergencia y el resultado fue miles de muertos solo uds 4t creen sus mentiras,rame60097415,hernan esquivel h,unknown,es,PARMENDARIZMX The Secretary of Health said by all means that food was not an emergency and the result was thousands of dead only you believe your lies,-0.1,0.7
2023-06-24 14:37:56+00:00,ricardorubiot ectorjaime jorgelara1 pancdmx gppancdmx aatayder juliofrenk elbaronnewsmx marianavendanoq incrdulo5 pregunto   eres derecho habiente del tuimss  o solo eres un palero golpeador y los hospitales son publicos o los que reclaman son privados,reneolivaresro1,olivares rene,jalisco y michoacan,es,Ricardorubiot EcTorjaime Pancdmx GPPANCDMX AATAYDER JULIOFRENK ELBARONNEWSMX MARIANANDANOQ I ASK YOU ARE HOT RIGHT OF TUIMSS OR YOU ARE ONLY A PALETO PEOPLE AND THE HOSPITALS ARE PUBLIC,0.13392857142857142,0.6130952380952381
2023-04-29 21:13:56+00:00,realiza imss rodada en ruta por las ninas y los ninos 2023 httpstcoyikfvwi2hj httpstcokatxw3ywbn,asi_sucede,asi sucede toluca,"toluca, mexico",es,Make IMSS shot by the girls and children,0.0,0.0
2023-05-21 20:32:21+00:00,slp cabildo capitalino se une a llamado nacional para evitar propagacion del dengue  ante el incremento que reporta la secretaria de salud federal es necesario poner en practica medidas preventivas httpstco4qnmngrcmx httpstcovymcw6bhyr,expressanluis,semanario expres,"san luis potosi, mexico.",es,SIP CABILDO CAPITALISM BY NATIONAL CALL TO AVOID PROPACT OF DENGU,0.0,0.0
2023-05-13 15:11:32+00:00,ivabellea tuimss una auditoria a esta pobre mensa,candidoptimiste,candido_el_optimista,unknown,es,ISABELLA TUIMSS AN AUDIT TO THIS POOR MENSA,-0.4,0.6
2023-01-25 02:06:38+00:00,"la secretaria de salud de hidalgo entrega la placa de certificacion de entorno favorable a la salud al mercado centenario ubicado en pachuquilla

httpstco6sjbludh0q",soldetulancingo,el sol de tulancingo,"tulancingo de bravo, #hidalgo",es,The Secretary of Health of Hidalgo delivers the environment certification plate favorable to health to the centenary market located in Pachuquilla,0.0,0.0
2023-02-17 06:09:21+00:00,abejim pastordc3110 tiempo de revelarnos en mi caso entro y les refiero a lo publicado por la secretaria de salud que dice que es recomendable mas no obligatorio,carloszar4,car zar,unknown,es,bees time to reveal to us in my case and I mean what is published by the Secretary of Health that says that it is recommended but not mandatory,-0.3125,0.6875
2023-04-27 17:03:03+00:00,patyarmendariz tuimss quien le habia quitado el control,ignacio42651508,ignacio,unknown,es,Patyarmendariz Timsss who had taken control,0.0,0.0
2023-06-01 16:11:03+00:00,hoy cumplo 3 anos trabajando en el imss  ya no quiero ,carolopez21,pumpkinlover,unknown,es,Today I am working on the IMSS no longer want,0.0,0.0
2023-06-08 01:09:43+00:00,thecatisback tuimss espero estes de vuelta pronto,balamakab71,manuel,"benito juarez, quintana roo",es,nextisback tuimsss I hope you are back soon,0.0,0.0
2023-02-02 22:20:09+00:00,"la secretaria de salud brindo platicas de prevencion de adicciones en secundaria
enterate emisorqueretaro noticiasnacionales morelos retosredessociales prevenciondeadicciones
httpstcolunl9aew5w",paleman_am,emisor queretaro,queretaro,es,The Secretary of Health I provide addiction prevention talks in Secondary Smalerqueretaro News,-0.3,0.3
2023-06-25 19:41:13+00:00,"gran jornada departamental y municipal de vacunacion contra la influenza cepa sur 2023

la secretaria de salud prioriza la vacunacion contra la influenza adicionalmente estan disponibles todos los biologicos del programa ampliado de inmunizaciones pai   httpstcoqxomcziwbj",alcaldiapalmira,alcaldia de palmira,"palmira, colombia",es,Great Departmental and Municipal Day of Vaccination against Influenza South CEPA The Secretary of Health Prioritizes influenza vaccination all biologics of the Expanded Immunization Program for Immunizations Pai HTTPSTCOQxomcziwBJ,0.8,0.75
2023-06-19 14:46:24+00:00,fanaticada se sigue ocupando sangre de cualquier tipo para mi comadre ana karla zepeda ruiz quien esta internada en el issste favor de acudir al banco de sangre del nuevo hospital general gracias de antemano,alexhdzpina,alex hdz. ,queretaro,es,Fanatica continues to occupy blood of any kind for my comadre Ana Karma Vereda Ruiz who is admitted to the ISSSTE please go to the Blood Bank of the new general hospital thanks in advance in advance,0.24659090909090908,0.5136363636363637
2023-05-19 22:31:47+00:00,sevillacritico las guarderias subrogadas es lo unico funciona bien en el imss,licrom,carlos romero guerra,guadalajara,es,Sevillacritico Subrogated nurseries is the only thing it works well in the IMSS,0.0,1.0
2023-02-10 17:26:44+00:00,"la clinica movil de la secretaria de salud llego este viernes a la ciudad de nemby en la plaza nuestra senora del huerto
los pobladores pudieron acceder a consultas odontologicas clinica medica y estudio de pap ademas recibieron medicamentos de manera totalmente gratuita httpstcorfqcmkcbpf",gobercentral,gobernacion central,aregua - paraguay,es,The mobile clinics of the Secretary of Health arrived this Friday in the city of Nemo in our Senora of the Garden the villagers could access medical clinical dental consultations and PAP studio also received medications in a completely free way httpstcorfqcmkcbpf,0.2,0.4
2023-06-25 19:47:46+00:00,hoy comienza una nueva etapa desde hoy sere la nueva secretaria de salud mental de jsmadrid  solo tengo palabras de agradecimiento en primer lugar a jsleganes por ser hogar y aranza88  por confiar en mi para tu equipazo,diana_blanco27,diana,"alcobendas, madrid",es,"Today a new stage begins from today, I will be the new Secretary of Mental Health of Madrid only I have words of thanks in the first place to slogans for being home and for trusting me for your equipped",0.10378787878787878,0.4404040404040405
2023-05-08 20:14:00+00:00,"iniciamos la semana con el  lunesdelasmujeres en el municipio de  chalchicomuladesesma acercando los programas y  servicios que la  secretaria de gobernacion  secretaria de salud y sistema estatal dif ofrecen para las mujeres
mujeressanasmujerespoblanas httpstco4vrvfb5tjc",leonorvargas_,leonor vargas,"puebla, mexico",es,We started the week with Mondays women in the municipality of Chalchicomuladesma closer to the programs and services that the Secretary of the Secretary of Health and State DIF System offers for women women,0.1,0.0
2023-06-18 02:22:25+00:00,ricardoalemanmx tampoco en el issstemx,flais54,bety zamora,"cuauhtemoc, distrito federal",es,Ricardoalemanmx either at ISSSTEMX,0.0,0.0
2023-04-29 01:27:05+00:00,claudiashein esto debe ser una broma dinero para traer a esta senora chicluda llamada rosalia y poner pantallas grandes si hay pero para contratar mas personal medico y equipo especializado en el sector salud publicopara eso no hay ssa imss issste,blacklagoon0916,exodi ,"distrito federal, mexico",es,Claudiashein this must be a money joke to bring this fogged lady called Rosalie and put large screens if there is but to hire more medical staff and specialized equipment in the health sector will publish that there is no that IMSS ISSSTE,0.2380952380952381,0.30952380952380953
2023-04-30 15:27:10+00:00,"el bienestar insabi que sera absorbido por el servicio de salud del instituto mexicano del seguro social para el bienestar imssbienestar creado oficialmente el ano pasado a traves de un decreto del presidente lopez obrador

 twitter  ovidioperaltas",miriamh10721079,kvaseam,"benito juarez, tlaxcala",es,The insane welfare that will be absorbed by the Health Service of the Mexican Social Security Institute for IMSSSBienestar officially created the past year through a decree of President Lopez Obrador Twitter Ovidosperaltas,-0.18333333333333332,0.44333333333333336
2023-06-24 20:40:51+00:00,tuimss la verdad siento que la invitacion a realizarse pruebas de hepatitis y de vih deberia de ser todo el ano pues todo el ano coge la gente y me resulta hasta cierto punto homofobia de su parte puntualizar la importancia de esas pruebas y a la vez la marcha,jessitzn,jessica,unknown,es,Tuimsss The truth I feel that the invitation to perform hepatitis and HIV tests should be the whole anus because the whole anus takes people and it finds me to some extent homophobia on its part to point out the importance of these tests and at the same time the march,0.13333333333333333,0.30833333333333335
2023-02-14 14:53:20+00:00,"trabaja gobierno de cuauhtemoc blanco de manera coordinada para brindar mejor calidad de vida a morelenses
 
   gracias al liderazgo y sensibilidad del jefe del ejecutivo la secretaria de salud en coordinacion con otras dependencias ofrece servicios integrales httpstcoqa4mch7alt",identidadmorcom,identidad morelos c.,unknown,es,The Government of Cuauhtemoc Blanco works in a coordinated manner to provide better quality of life to Morelenses thanks to the leadership and sensitivity of the Chief Executive The Secretary of Health in coordination with other dependencies offers comprehensive services,0.16874999999999998,0.26875
2023-04-27 00:36:25+00:00,ya deberian darme un reconocimiento por parte de la secretaria de salud por todas las veces que me he contagiado de covid ,kathovallos,kathy ovallos,"cucuta, colombia",es,They should already give me recognition from the Ministry of Health for all the times I have infected with food,0.0,0.0
2023-01-25 14:57:58+00:00,recorrimos el hospital materno infantil ana goitia junto a nuestra secretaria de salud virginia alganaraz la presidenta del consejo de administracion del hospital ana cafiero y la directora ejecutiva adriana mosquera httpstcoeshrzsbjij,jorgeferraresi,jorge ferraresi,unknown,es,We toured the Ana Gota Maternal and Child Hospital with our Secretary of Health Virginia Algananraz the president of the Ana Hospital Board of Directors and the executive director Adriana Mosquea Httpstcoeshrzsbjijiji,0.0,0.0
2023-06-17 05:00:01+00:00,firman convenio para implementar imssbienestar en la ciudad de mexico   httpstcollsmpegvio,parabolicared,parabolica en red,"puebla, mexico",es,Sign Agreement to implement IMSSBienestar in Mexico City HTTPSTCollSMPEGVIO,0.0,0.0
2023-06-11 00:48:27+00:00,"2001osado09 gpplural dejo el imss porque no pudo contra el sistema a poco como candidato si va a poder
y se despidio alabando a lopez para regresar a su escano morenista dos anos mas

nel",el_morbid,torg leturg,unknown,es,Plural I leave the IMSS because he could not against the system as little as a candidate if he is going to be able to and say praise Lopez to return to his escape brunette two years more Nel,0.2708333333333333,0.5416666666666666
2023-06-04 06:13:11+00:00,colchoneta del imss gt colchoneta del florence,birriaderes,dr. featherweight,unknown,es,IMSS GT Colchoneta Colchoneta Del Florence,0.0,0.0
2023-06-26 15:11:50+00:00,"issste innova crea programa para preservar la fertilidad de ninos con cancer y asi funciona
httpstcoeslsgfmi1q
fertilidad ninos cancer felizlunesatodos",vitadecisions,vitadecisions,online,es,ISSSTE INNOVAR Creates Program to preserve the fertility of children with cancer and thus works fertility Cancer Happy,0.8,1.0
2023-04-29 19:56:37+00:00,datoatipico germanvargas jajajajaja bobo hpta este no las cree que las secretaria de salud departamentales se usan de cuotas burocraticas por alcaldes y gobernadores jajajajaja pendejo a lo bien,ivandariomarul1,ivan dario marulanda,unknown,es,DATATIPICO GERMANVARGAS HAJAJAJA BOO,0.0,0.0
2023-05-10 15:47:52+00:00,"invita imss guanajuato a madres de familia a incorporarse a prevenimss para mejorar su calidad de vida
httpstcojzp6r4rglt httpstcoixl9jbhffv",contexto_nn,contexto nn,"leon, guanajuato, mexico.",es,Invite IMSS Guanajuato to mothers to join Preveimss to improve their quality of life,0.0,0.0
2023-05-31 15:19:53+00:00,stratcons lalistanews es una experiencia horrible estuve internada en el imss por 3 semanas la primera cama que me toco no se podia cambiar de posicion ni por asomo tienen almohadas tuve que usar una toalla enrollada las batas son viejas y una vez me dieron una sabana porque no tenian batas,maritaluisamar,marina lm,la puebla de los angeles,es,Stations Lalistaks is a horrible experience I was admitted to the IMSS for weeks the first bed that touched me could not change position or by asom Batas,-0.375,0.6666666666666666
2023-04-29 23:26:44+00:00,claraabril edysmol extincion de insabi y sustitucion con imss bienestar,guiller30876870,guillermo yomero,unknown,es,Clarabril Edysmol Extinction of insane and replacement with welfare IMSS,-1.0,1.0
2023-05-02 02:28:49+00:00,soycomunicoiogo claramente se ve que fue al imss,alonso_rea,alonso rea,unknown,es,I am acomunicoiogo clearly it is seen that it went to the IMSS,0.10000000000000002,0.3833333333333333
2023-04-11 16:45:01+00:00,"la secretaria de salud guerrero a traves de la copriseg alerta a la poblacion en general y a profesionales de salud sobre la comercializacion ilegal
de productos vitacilina y derman

consulta la alerta sanitaria
httpstcogymsmgi6dn httpstcoebv9winatz",coprisegro,copriseg guerrero,"chilpancingo, guerrero",es,The Secretary of Health Guerrero through the Copriseg alerts the general population and health professionals about the illegal marketing of vitacillin and sleeping the health alert,-0.22499999999999998,0.5
2023-06-19 12:16:00+00:00,alimentacion saludable y personalizada en el imss httpstcoryzofyxfqq medicinageneral general medicina carlosterancarvalloguevara medicinageneralcarlosteran carloscarvalloguevara,generalcarvallo,medicina general carlos carvallo teran guevara,unknown,es,Healthy and personalized eating in the IMSS HTTPSTCORYZOFYXFQQ GENERAL MEDICINE MEDICINE CARLOSTERACARVALLOGUARA MEDICINEGERALCARLOSTAN CARLOSCARVALLOGUERAVARA,0.275,0.5
2023-05-24 04:53:53+00:00,el cenapred y la secretaria de salud han hecho varias recomendaciones para quienes viven cerca del volcan como tener una mochila de emergencia a la mano enpunto con enriqueacevedo  decideinformado  siguelo por httpstcojpgbic5ylx httpstcosqfq80yjkf,nmas,nmas,mexico city,es,The Supred and the Secretary of Health have made several recommendations for those who live near the volcan such as having an emergency backpack at the point of point with EnriqueVedo decideinformed continued by,0.05909090909090909,0.35
2023-06-21 15:03:38+00:00,cuando llevaba a mi jr a la guarderia del imss muchas mamas no dejaban panales suficientes para sus bebes yo diario iba dejando los que me sobraban del dia para los que faltaban panales y asi todos con colitas felices  httpstco7bg8ic8ap6,ursulabethmanzo,ursula iguaran,"juarez, chihuahua",es,When I took my jr to the Nursery of the IMSS many breasts did not leave enough honeycombs for their babies I was leaving those who left over the day for those who were missing honeycombs and so on all with happy colitas,0.22000000000000003,0.41
2023-04-29 10:48:39+00:00,revistapolemon markback1416 lopezobrador pues con todo y eso  el seguro popular era un lugar muy concurrido por las personas que no tenian imss  y no faltaban medicinas  pero ustedes solo repiten lo que elcacas dice  informense en otros lados  las mananeras solo son apatanlla pendejos ,jesv1833,jesus vazquez,unknown,es,MagazinePolmon Lopezobrador because with everything and that popular insurance was a very busy place by the people who did not have IMSS and there was no lack of medicines but you only repeat what plates say reports on other sides the ways are only apatanlla asshole,0.121,0.733
2023-06-08 14:31:11+00:00,vine a lidiar con unifila del imss todas andan igual de roncas esta ciudad me va a matar,tristeagata,agata triste,unknown,es,I came to deal with uniform of the IMSS All walk just as Roncas this city will kill me,0.0,0.0
2023-06-20 16:57:47+00:00,ay q bueno porq no tengo imss,frutilliza,dalia ,mexico,es,oh good because I don't have imss,0.7,0.6000000000000001
2023-02-22 00:20:14+00:00,claudialopez porque no habla mas bien de la corrupcion en su gobierno la uaesp la secretaria de salud movilidad  integracion todo huele a fetido y usted tapa tapa tapa claudialopez,alvarezmoya1947,manuelramirez,unknown,es,"CLAUDIALOPEZ BECAUSE THE CAES SECRETARY IN YOUR GOVERNMENT does not speak of corruption in his government, the Secretary of Health Mobility Integration everything smells like it and you cover a lid Claudialopez cover",0.0,0.0
2023-05-04 21:15:47+00:00,tuimss el cambio de clinica es ineficiente tienen esperando mas de tres horas a la gente en el sol y no les importa si son de la 3ra edad enfermas o discapacitados no avanza la fila y mas de 3 hrs y apenas desde las 7am van con la ficha 102 claudiashein imssdigital httpstcofmywiy0vga,saraibc6,sarai b c,unknown,es,Tuimsss The change of clinic is inefficient they have waiting for people in the sun more than three hours and they do not care if they are sick or disabled age does not advance the row and more of HRS and just from the Van with the Claudiashein IMSSDigital tab,0.021428571428571422,0.5392857142857144
2023-06-07 16:06:29+00:00,luego porque todos renuncian al imss van a sus citas a hospital y no hay medicos y los re agendan derecho habientes del imss espero recuerden quien es realmente el que alarga las citas y les va quitando medicamentos cuando vayan a votar para la proxima,la_docdefamilia,la medico familiosa.,unknown,es,Then because everyone renounces the IMSS they go to their hospital appointments and there are no doctors and IMSS patients I hope you hope to remember who is really the one who extends the appointments and is taking off medications when they are going to vote for the next,0.1,0.1
2023-06-22 13:33:46+00:00,"la asociacion civil doctorpayasoac y el tuimss trabajan de manera conjunta con pacientes pediatricos que se encuentran internados para ayudar en su proceso de recuperacion fisica

abrelosojos con monicanoguera por imagentvmex httpstcok9rtp3hy6u",imagenzea,imagenzea,mexico,es,The DoctorPayasoac Civil Association and Timss work together with pediatric patients who are admitted to help in their opening physical recovery process with Monicanoguera by Imagentvmex,0.0,0.14285714285714285
2023-05-24 20:44:46+00:00,sacba renatoyez1 jjdiazmachuca lopezobrador tuimss si si hay un justificante cuando el paciente llega de genio gritando y maltratando gente hay que ser respetuosos por parte de ambos,soyajelandru,alejandra ramirez,unknown,es,Jjdiazmachuca LopezObrador Timsss does if there is a supporting one when the patient arrives as a genius screaming and mistreating people you have to be respectful by both of them,0.375,0.475
2023-05-03 03:35:12+00:00,"zoerobledo y donde esta el presupuesto para material quirurgico estudios medicamentos del imss
hoy los  derechohabientes tenemos  que esperar meses para una cirugia porque no hay presupuesto para  renta del equipo necesario ni siquiera una resonancia
nos estan dejando morir",lic_nata,naty_soyfifi,"coyoacan, cdmx",es,Zoerobledo and where is the budget for surgical material studies medications of the IMSS today the right holders we have to wait months for surgery because there is no budget for income of the necessary equipment not even a resonance are letting us die,0.14285714285714285,0.7678571428571428
2023-06-26 22:09:12+00:00,alunasilva issstemx pueblaonline tanto imss y issste no hacen nada los de mantenimiento,sluthor,smallville luthor,"puebla, mexico",es,ALUNASILVA ISSStemx Pueblaonline both IMSS and ISSSTE DO NOT MAINTENANCE,0.0,0.0
2023-04-20 03:43:34+00:00,subdirector de la secretaria de integracion social en este hicieron presencia entidades como el ministerio del interior la secretaria de seguridad la secretaria de la mujer idipron la secretaria de salud la secretaria del habitat la secretaria de educacion  httpstcogvin9wriub,alcaldiabunidos,alcaldia local de barrios unidos,calle 74 a no. 63 - 04,es,Deputy Director of the Secretary of Social Integration in this made entities such as the Ministry of Interior the Secretary of Security The Secretary of Women gave the Secretary of Health the Secretary of the Habitat the Secretary of Education,0.016666666666666666,0.2833333333333333
2023-06-11 15:14:38+00:00,estuvieron presentes el equipo muna de nuestra ciudad la secretaria de salud y desarrollo social vanina gandini y la directora de desarrollo social micaela jacquet junto con el resto de los 20 distritos elegidos en esta primera etapa,municasares,municipalidad de carlos casares,"carlos casares, argentina",es,The team was present one of our city the Secretary of Health and Social Development Vagina Nandini and the Director of Social Development Michaela Jacques together with the rest of the districts chosen in this first stage,0.07916666666666666,0.11666666666666667
2023-06-15 00:08:45+00:00,tuimss supsips lo que se necesita es la cirugia ya la van a operar o seguiran con llamaditas si fuera tu mama tu papa o tu hij te quedarias tan tranquilo ya lo operaron ,preguntalearox,rocio lopez fonseca,unknown,es,Tuimss sepsis What is needed is surgery they will already operate or continue with call if your mother was your potato or your child you would be so quiet they already operated it,0.0,0.3333333333333333
2023-05-28 11:17:17+00:00,principales causas de muerte en bogota segun informe de la secretaria de salud httpstcognxchnnzje,javiercormane,javier cormane,"bogota, colombia",es,main causes of death in Bocoota according to the Secretary of Health HTTPSTCGNXCHNNZJE,0.16666666666666666,0.3333333333333333
