date,drug1,drug2,drug3,drug4,drug5,drug6,drug7,drug8,drug1_sales,drug2_sales,drug3_sales,drug4_sales,drug5_sales,drug6_sales,drug7_sales,drug8_sales
1/20/2014,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,6000.0,2671.9999999999995,4950.0,7140.0,9900.0,20000.0,5400.0,2700.0
1/21/2014,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2000.0,2671.9999999999995,6000.0,25200.0,8250.0,20000.0,0.0,900.0
1/22/2014,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,7000.0,2399.9999999999995,10500.0,10860.0,5500.0,0.0,2250.0,1800.0
1/23/2014,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,4000.0,3735.9999999999995,7800.0,15720.0,1100.0,30000.0,450.0,2700.0
1/24/2014,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,4670.0,5871.999999999999,10500.0,11760.0,7150.0,10000.0,0.0,0.0
1/25/2014,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,6000.0,7199.999999999999,7500.0,22680.0,9900.0,0.0,2250.0,900.0
1/26/2014,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,4330.0,1343.9999999999998,0.0,14400.0,2200.0,0.0,0.0,0.0
1/27/2014,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,4340.0,3735.9999999999995,1800.0,14160.0,9350.0,20000.0,450.0,2700.0
1/28/2014,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,6000.0,2671.9999999999995,4200.0,8028.000000000001,12100.0,50000.0,450.0,4500.0
1/29/2014,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,5330.0,3199.9999999999995,3000.0,8400.0,5500.0,10000.0,450.0,1800.0
1/30/2014,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,3020.0,1072.0,3600.0,15300.0,3850.0,10000.0,1350.0,1800.0
1/31/2014,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,1000.0,2144.0,10650.0,16140.0,4950.0,0.0,450.0,0.0
2/1/2014,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,4330.0,3455.9999999999995,7500.0,25800.0,7150.0,10000.0,6300.0,0.0
2/2/2014,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,7000.0,2399.9999999999995,300.0,8100.0,3300.0,20000.0,3600.0,0.0
2/3/2014,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,5000.0,799.9999999999999,12750.0,19440.0,8800.0,10000.0,450.0,0.0
2/4/2014,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,1330.0,2399.9999999999995,10500.0,18360.0,4400.0,10000.0,7650.0,1800.0
2/5/2014,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,3000.0,3215.999999999999,9300.0,19440.0,8250.0,10000.0,450.0,900.0
2/6/2014,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,3330.0,5343.999999999999,5250.0,24840.0,9350.0,20000.0,2250.0,1800.0
2/7/2014,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2660.0,6935.999999999999,17550.0,12840.0,10450.0,10000.0,0.0,0.0
2/8/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,3330.0,2679.9999999999995,21600.0,22260.0,7150.0,10000.0,450.0,900.0
2/9/2014,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,4000.0,2399.9999999999995,3000.0,18900.0,5500.0,0.0,2700.0,0.0
2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,5000.0,8263.999999999998,12750.0,24060.0,11000.0,30000.0,1350.0,900.0
2/11/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,10000.0,5591.999999999999,19950.0,26760.0,11000.0,20000.0,2700.0,1980.0000000000002
2/12/2014,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,9000.0,1335.9999999999998,13650.0,44160.0,4950.0,0.0,2250.0,0.0
2/13/2014,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,4330.0,2935.9999999999995,15000.0,29460.0,7150.0,30000.0,0.0,900.0
2/14/2014,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,4000.0,3207.9999999999995,4800.0,25380.0,7150.0,40000.0,0.0,5400.0
2/15/2014,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,1000.0,1871.9999999999995,3000.0,22200.0,4950.0,0.0,450.0,4500.0
2/16/2014,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,0.0,1343.9999999999998,1800.0,20400.0,2750.0,20000.0,1350.0,900.0
2/17/2014,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,7340.0,3199.9999999999995,19050.0,16200.0,7150.0,10000.0,3150.0,0.0
2/18/2014,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,7340.0,5887.999999999999,9150.0,27000.0,7700.0,0.0,5850.0,4500.0
2/19/2014,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,3330.0,4015.999999999999,8250.0,40080.0,9350.0,10000.0,2700.0,900.0
2/20/2014,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,7000.0,5615.999999999999,4800.0,12900.0,8800.0,30000.0,3600.0,900.0
2/21/2014,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,6000.0,3471.9999999999995,13500.0,15240.0,9350.0,0.0,0.0,0.0
2/22/2014,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,7000.0,2535.9999999999995,8550.0,15600.0,6600.0,0.0,450.0,0.0
2/23/2014,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,1000.0,2671.9999999999995,3000.0,12600.0,5500.0,0.0,0.0,0.0
2/24/2014,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,7000.0,3743.999999999999,8250.0,15900.0,2200.0,0.0,0.0,2700.0
2/25/2014,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,5000.0,1343.9999999999998,16800.0,20700.0,7150.0,0.0,0.0,1800.0
2/26/2014,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,5000.0,3207.9999999999995,1500.0,20400.0,2750.0,0.0,5400.0,900.0
2/27/2014,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,3000.0,5071.999999999999,6000.0,19920.0,4400.0,10000.0,900.0,900.0
2/28/2014,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,7000.0,5887.999999999999,7950.0,22200.0,6600.0,10000.0,900.0,0.0
3/1/2014,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,6340.0,2943.9999999999995,17032.5,30420.0,4400.0,0.0,0.0,1890.0
3/2/2014,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,3340.0,799.9999999999999,3000.0,3960.0,1100.0,0.0,0.0,900.0
3/3/2014,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,4000.0,2943.9999999999995,2400.0,13260.0,550.0,20000.0,0.0,1980.0000000000002
3/4/2014,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,5340.0,5615.999999999999,10800.0,28365.0,4950.0,0.0,2250.0,3600.0
3/5/2014,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,3340.0,799.9999999999999,4500.0,15000.0,2200.0,0.0,450.0,0.0
3/6/2014,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,3000.0,1599.9999999999998,8250.0,26460.0,9350.0,10000.0,2250.0,900.0
3/7/2014,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,4000.0,3471.9999999999995,14250.0,15000.0,1650.0,10000.0,0.0,1800.0
3/8/2014,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,4340.0,2455.9999999999995,1500.0,16560.0,6050.0,0.0,0.0,0.0
3/9/2014,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,1000.0,0.0,6000.0,6780.0,1650.0,0.0,2250.0,0.0
3/10/2014,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,6680.0,4279.999999999999,5700.0,28200.0,6050.0,0.0,0.0,1800.0
3/11/2014,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,6000.0,4559.999999999999,10500.0,18240.0,6600.0,10000.0,450.0,4500.0
3/12/2014,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,6340.0,2144.0,9750.0,11760.0,12100.0,30000.0,900.0,1800.0
3/13/2014,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2310.0,3487.9999999999995,7950.0,9300.0,5500.0,0.0,11700.0,1800.0
3/14/2014,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,4340.0,1343.9999999999998,1800.0,9600.0,6050.0,0.0,450.0,1800.0
3/15/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,4000.0,1599.9999999999998,16500.0,13980.0,9900.0,10000.0,2700.0,1800.0
3/16/2014,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2680.0,1599.9999999999998,2100.0,7800.0,3300.0,0.0,0.0,3600.0
3/17/2014,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,8680.0,2671.9999999999995,10500.0,22200.0,3300.0,10000.0,0.0,900.0
3/18/2014,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,8000.0,3199.9999999999995,7500.0,12060.0,4950.0,0.0,0.0,3600.0
3/19/2014,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,4000.0,2415.9999999999995,6000.0,13080.0,1100.0,0.0,0.0,1800.0
3/20/2014,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,3000.0,4271.999999999999,2400.0,22920.0,2750.0,0.0,3150.0,3780.0
3/21/2014,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,6000.0,2943.9999999999995,6750.0,24000.0,2200.0,0.0,900.0,900.0
3/22/2014,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,3340.0,1871.9999999999995,0.0,15780.0,5500.0,20000.0,8100.0,7560.0
3/23/2014,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,6340.0,1599.9999999999998,6000.0,11640.0,0.0,10000.0,0.0,2700.0
3/24/2014,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,5680.0,799.9999999999999,6000.0,14160.0,3850.0,0.0,2700.0,3150.0
3/25/2014,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,4000.0,1072.0,13500.0,23160.0,3850.0,0.0,450.0,900.0
3/26/2014,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2340.0,3191.9999999999995,13500.0,4020.0,3850.0,30000.0,1350.0,0.0
3/27/2014,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,4000.0,264.0,3000.0,12420.0,3300.0,10000.0,450.0,4500.0
3/28/2014,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2670.0,1599.9999999999998,12000.0,6600.0,1650.0,0.0,4050.0,4500.0
3/29/2014,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,4000.0,5063.999999999999,6300.0,14400.0,4400.0,20000.0,4050.0,2700.0
3/30/2014,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,3000.0,1871.9999999999995,0.0,7200.0,2200.0,0.0,0.0,6300.0
3/31/2014,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,5340.0,1871.9999999999995,6000.0,9240.0,3300.0,10000.0,1800.0,5400.0
4/1/2014,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,4340.0,1072.0,9750.0,16500.0,2750.0,30000.0,1350.0,900.0
4/2/2014,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2000.0,3743.999999999999,13350.0,13800.0,550.0,0.0,3150.0,2700.0
4/3/2014,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,1000.0,1072.0,4500.0,11520.0,2200.0,0.0,0.0,3600.0
4/4/2014,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,3000.0,2935.9999999999995,4500.0,14400.0,4950.0,30000.0,3600.0,1800.0
4/5/2014,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2000.0,6143.999999999999,15000.0,15360.0,2750.0,0.0,2250.0,2700.0
4/6/2014,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2000.0,799.9999999999999,1500.0,11400.0,550.0,0.0,0.0,900.0
4/7/2014,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,6340.0,4799.999999999999,9750.0,18900.0,2200.0,0.0,0.0,900.0
4/8/2014,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,4340.0,1871.9999999999995,2550.0,11400.0,3300.0,10000.0,0.0,4230.0
4/9/2014,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,6000.0,815.9999999999999,1500.0,10800.0,1100.0,10000.0,900.0,2340.0
4/10/2014,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,3330.0,1343.9999999999998,1500.0,10800.0,5500.0,0.0,1800.0,3600.0
4/11/2014,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,6000.0,3199.9999999999995,4500.0,15000.0,1100.0,20000.0,0.0,1800.0
4/12/2014,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,7020.0,2671.9999999999995,9000.0,14100.0,10450.0,0.0,4950.0,3600.0
4/13/2014,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,3000.0,1599.9999999999998,3000.0,3600.0,1650.0,0.0,2250.0,1800.0
4/14/2014,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,1340.0,3743.999999999999,8024.999999999999,16968.0,5500.0,0.0,2250.0,4500.0
4/15/2014,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,4340.0,2399.9999999999995,9600.0,11220.0,6600.0,0.0,4500.0,900.0
4/16/2014,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2000.0,807.9999999999999,6300.0,15372.0,550.0,0.0,2700.0,3600.0
4/17/2014,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,5340.0,272.0,10800.0,9600.0,10450.0,0.0,0.0,0.0
4/18/2014,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,7000.0,5599.999999999999,12000.0,13980.0,5500.0,10000.0,0.0,4500.0
4/19/2014,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,7340.0,2679.9999999999995,6000.0,13380.0,3850.0,0.0,1350.0,4500.0
4/20/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/21/2014,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,1340.0,1343.9999999999998,3150.0,8100.0,4400.0,0.0,0.0,900.0
4/22/2014,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,5340.0,5731.999999999999,4950.0,19200.0,4400.0,10000.0,0.0,900.0
4/23/2014,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,6340.0,1871.9999999999995,4500.0,14940.0,4400.0,10000.0,900.0,900.0
4/24/2014,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2000.0,1599.9999999999998,1650.0000000000002,15600.0,3300.0,0.0,2700.0,1800.0
4/25/2014,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,3000.0,1615.9999999999998,7500.0,14940.0,5500.0,10000.0,450.0,2700.0
4/26/2014,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,4340.0,2135.9999999999995,8250.0,21000.0,6600.0,10000.0,2700.0,3600.0
4/27/2014,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,4000.0,1871.9999999999995,3000.0,15720.0,1100.0,0.0,450.0,900.0
4/28/2014,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,1340.0,2471.9999999999995,4500.0,17460.0,4400.0,20000.0,0.0,1800.0
4/29/2014,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,3330.0,3215.999999999999,6600.000000000001,18180.0,3300.0,10000.0,2250.0,360.0
4/30/2014,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,4340.0,2144.0,10500.0,25860.0,6050.0,0.0,3150.0,3600.0
5/1/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5/2/2014,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,7340.0,5871.999999999999,9450.0,23700.0,8800.0,10000.0,5400.0,1800.0
5/3/2014,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,4000.0,4271.999999999999,3000.0,8760.0,2750.0,20000.0,0.0,2250.0
5/4/2014,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,1670.0,3752.0,1800.0,12000.0,1650.0,0.0,0.0,2700.0
5/5/2014,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,3000.0,4627.999999999999,7500.0,12000.0,3850.0,0.0,1350.0,3600.0
5/6/2014,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,7340.0,3487.9999999999995,6000.0,13200.0,5500.0,20000.0,2700.0,4500.0
5/7/2014,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,3330.0,5055.999999999999,4500.0,10080.0,4400.0,10000.0,1350.0,9900.0
5/8/2014,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2000.0,1871.9999999999995,5100.0,12240.0,5500.0,30000.0,0.0,4500.0
5/9/2014,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2000.0,3999.9999999999995,6300.0,9600.0,6600.0,20000.0,450.0,1800.0
5/10/2014,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,5000.0,4799.999999999999,13500.0,23640.0,8250.0,30000.0,450.0,4500.0
5/11/2014,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2000.0,2144.0,1500.0,10200.0,3850.0,0.0,450.0,3600.0
5/12/2014,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,4340.0,2671.9999999999995,13500.0,7200.0,4400.0,0.0,2250.0,1800.0
5/13/2014,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,3680.0,272.0,9300.0,19200.0,3850.0,0.0,11250.0,6750.0
5/14/2014,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,1000.0,3215.999999999999,9000.0,14580.0,2200.0,0.0,0.0,2700.0
5/15/2014,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2340.0,1615.9999999999998,4500.0,11580.0,3850.0,0.0,450.0,1800.0
5/16/2014,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,5340.0,5599.999999999999,4500.0,13200.0,5500.0,10000.0,4950.0,900.0
5/17/2014,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2340.0,6143.999999999999,4500.0,21000.0,7700.0,10000.0,0.0,1800.0
5/18/2014,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,3340.0,1599.9999999999998,7500.0,5640.0,3300.0,0.0,0.0,900.0
5/19/2014,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,8340.0,3071.9999999999995,9150.0,7680.0,2750.0,0.0,1350.0,8100.0
5/20/2014,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,1000.0,1899.9999999999998,10500.0,16200.0,5500.0,10000.0,0.0,3240.0
5/21/2014,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2000.0,3743.999999999999,14250.0,9240.0,3300.0,10000.0,0.0,2700.0
5/22/2014,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,3680.0,1064.0,1800.0,4800.0,4400.0,0.0,900.0,3600.0
5/23/2014,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,5000.0,1871.9999999999995,5850.0,10500.0,4400.0,20000.0,4500.0,6300.0
5/24/2014,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,3000.0,3770.3999999999996,7500.0,16800.0,6050.0,10000.0,0.0,8100.0
5/25/2014,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2000.0,2399.9999999999995,1500.0,4200.0,4400.0,0.0,2250.0,900.0
5/26/2014,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2680.0,2671.9999999999995,11100.0,10800.0,3850.0,10000.0,0.0,4500.0
5/27/2014,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,0.0,1871.9999999999995,7500.0,17160.0,6600.0,10000.0,450.0,5400.0
5/28/2014,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,1340.0,4015.999999999999,2100.0,6168.0,4950.0,0.0,900.0,4590.0
5/29/2014,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,4000.0,4271.999999999999,9450.0,16200.0,7150.0,0.0,0.0,1800.0
5/30/2014,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,3020.0,1615.9999999999998,3000.0,12900.0,7700.0,0.0,0.0,4500.0
5/31/2014,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,5670.0,2671.9999999999995,3000.0,16800.0,5500.0,0.0,6750.0,1800.0
6/1/2014,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,1000.0,544.0,1500.0,6000.0,2200.0,10000.0,450.0,2700.0
6/2/2014,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,4000.0,3471.9999999999995,15000.0,13980.0,8800.0,30000.0,0.0,2700.0
6/3/2014,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,3000.0,1599.9999999999998,3600.0,14400.0,3850.0,20000.0,2250.0,2700.0
6/4/2014,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,1000.0,3743.999999999999,5250.0,14400.0,3300.0,0.0,450.0,2250.0
6/5/2014,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,340.0,3743.999999999999,6750.0,13500.0,2200.0,0.0,0.0,4500.0
6/6/2014,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,5000.0,1343.9999999999998,4500.0,9975.0,8250.0,20000.0,450.0,4500.0
6/7/2014,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,9000.0,2943.9999999999995,11250.0,19800.0,4400.0,10000.0,2700.0,6300.0
6/8/2014,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,1000.0,1599.9999999999998,4500.0,6600.0,4400.0,0.0,2700.0,1800.0
6/9/2014,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,6330.0,1072.0,7500.0,10800.0,9350.0,40000.0,0.0,9900.0
6/10/2014,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,8680.0,2144.0,6450.0,13800.0,8800.0,20000.0,900.0,5850.0
6/11/2014,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,4340.0,544.0,3449.9999999999995,7500.0,8800.0,20000.0,5400.0,8100.0
6/12/2014,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,4340.0,2399.9999999999995,1500.0,9480.0,6600.0,0.0,900.0,2700.0
6/13/2014,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,1000.0,2144.0,7500.0,6000.0,6050.0,0.0,1350.0,900.0
6/14/2014,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,4000.0,4015.999999999999,9000.0,4800.0,5500.0,0.0,450.0,2700.0
6/15/2014,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,340.0,1599.9999999999998,0.0,4800.0,2750.0,0.0,0.0,2970.0
6/16/2014,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,4340.0,3471.9999999999995,11100.0,7320.0,6050.0,0.0,2250.0,4500.0
6/17/2014,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,5000.0,1871.9999999999995,6000.0,8400.0,6600.0,20000.0,0.0,2700.0
6/18/2014,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2000.0,1599.9999999999998,7050.0,10800.0,3300.0,0.0,450.0,2700.0
6/19/2014,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,3000.0,2663.9999999999995,1500.0,8400.0,4400.0,0.0,0.0,900.0
6/20/2014,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,7340.0,1615.9999999999998,4500.0,8700.0,4950.0,0.0,1350.0,5400.0
6/21/2014,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,6000.0,4543.999999999999,3000.0,9600.0,6600.0,30000.0,0.0,2700.0
